# Module Gain Results (Run: 1059)
# LMS Entries: 10001, Sample Rate: 1.00 Hz
# Current Run Time: 2.78 hours 
# Cumulative Time: 58.38 hours (total time up to this run)
# Formula: Gain = (Module LMS Mean - Module Pedestal Mean) × RefPMT Alpha Signal / RefPMT LMS Signal
# Reference PMT Params:
# RefPMT1: AlphaSignal=4541.90, AlphaError=2.68, LMSSignal=2372.33, LMSError=0.90, Valid=Yes
# RefPMT2: AlphaSignal=1917.46, AlphaError=1.07, LMSSignal=2372.89, LMSError=0.73, Valid=Yes
# RefPMT3: AlphaSignal=5641.65, AlphaError=2.87, LMSSignal=1593.40, LMSError=0.85, Valid=Yes
# G module
# module name	module signal(LMS-Pedestal)	signal error	gain1(RefPMT1)	gain1 error	gain2(RefPMT2)	gain2 error	gain3(RefPMT3)	gain3 error	LMS entries
G1	4927.682686	1.398793	9434.201626	7.142779	3981.919550	2.779923	17447.136940	13.799638	10001
G2	4242.058474	1.388232	8121.552767	6.289565	3427.886218	2.457368	15019.590306	12.128749	10001
G3	6701.676814	1.770123	12830.568509	9.622157	5415.433505	3.738535	23728.206652	18.604677	10001
G4	5175.619530	1.448045	9908.884419	7.487096	4182.270228	2.912895	18324.991370	14.467289	10001
G5	5348.256933	1.752925	10239.404090	7.931864	4321.773579	3.099166	18936.237789	15.295410	10001
G6	4946.046910	1.494515	9469.360503	7.236150	3996.759154	2.820812	17512.157995	13.969280	10001
G7	3816.809287	1.283389	7307.399984	5.687141	3084.254504	2.223825	13513.937187	10.962702	10001
G8	7137.497284	1.689230	13664.960342	10.121828	5767.607572	3.923788	25271.288851	19.591683	10001
G9	5147.901719	1.232086	9855.817808	7.308786	4159.872257	2.833902	18226.852655	14.145372	10001
G10	5638.843755	1.295633	10795.741590	7.973067	4556.588485	3.089116	19965.100319	15.436535	10001
G11	6054.279841	1.463405	11591.106887	8.604556	4892.290514	3.336962	21436.008807	16.651693	10001
G12	4496.336522	1.327907	8608.375990	6.555181	3633.361042	2.553805	15919.896636	12.658345	10001
G13	3214.076127	1.214565	6153.448619	4.905210	2597.203063	1.925464	11379.877701	9.437806	10001
G14	3026.693316	0.972427	5794.698406	4.473071	2445.784369	1.746705	10716.423140	8.628086	10001
G15	5941.969982	1.256252	11376.086173	8.339092	4801.536127	3.226382	21038.360337	16.155839	10001
