# Module Gain Results (Run: 1306)
# LMS Entries: 10008, Sample Rate: 1.00 Hz
# Current Run Time: 2.78 hours 
# Cumulative Time: 52.82 hours (total time up to this run)
# Formula: Gain = (Module LMS Mean - Module Pedestal Mean) × RefPMT Alpha Signal / RefPMT LMS Signal
# Reference PMT Params:
# RefPMT1: AlphaSignal=-338.78, AlphaError=0.03, LMSSignal=2347.75, LMSError=0.89, Valid=No
# RefPMT2: AlphaSignal=2129.38, AlphaError=0.79, LMSSignal=2354.82, LMSError=0.74, Valid=Yes
# RefPMT3: AlphaSignal=5638.23, AlphaError=2.07, LMSSignal=1309.32, LMSError=0.84, Valid=Yes
# G module
# module name	module signal(LMS-Pedestal)	signal error	gain1(RefPMT1)	gain1 error	gain2(RefPMT2)	gain2 error	gain3(RefPMT3)	gain3 error	LMS entries
G1	5045.949864	1.475994	0.000000	0.000000	4562.872993	2.592120	21728.999219	17.281404	10008
G2	4474.353034	1.482928	0.000000	0.000000	4045.998310	2.383393	19267.574236	15.615163	10008
G3	7069.648954	1.968236	0.000000	0.000000	6392.832104	3.586108	30443.504344	24.057574	10008
G4	5401.952810	1.539607	0.000000	0.000000	4884.793795	2.756312	23262.028270	18.437182	10008
G5	5630.789062	1.862555	0.000000	0.000000	5091.722280	2.997546	24247.448834	19.644619	10008
G6	4970.631216	1.549131	0.000000	0.000000	4494.765018	2.598788	21404.660118	17.178408	10008
G7	3814.329750	1.323748	0.000000	0.000000	3449.162729	2.062600	16425.364976	13.418677	10008
G8	7500.309754	4.055141	0.000000	0.000000	6782.263348	4.935139	32298.026969	29.588952	10008
G9	5206.568140	1.298221	0.000000	0.000000	4708.114387	2.575882	22420.657774	17.498684	10008
G10	5780.614667	1.336918	0.000000	0.000000	5227.204245	2.818098	24892.631711	19.289020	10008
G11	6307.315034	1.530912	0.000000	0.000000	5703.480653	3.103429	27160.722390	21.141389	10008
G12	4353.792710	1.377014	0.000000	0.000000	3936.979896	2.286148	18748.414261	15.080490	10008
G13	3161.417229	1.241247	0.000000	0.000000	2858.757158	1.788305	13613.776267	11.399189	10008
G14	3030.020132	0.987702	0.000000	0.000000	2739.939437	1.605663	13047.950707	10.545631	10008
G15	6205.928665	1.351573	0.000000	0.000000	5611.800566	2.993750	26724.129797	20.603511	10008
G16	-378.307120	0.015584	0.000000	0.000000	-342.089674	-0.167191	-1629.075861	-1.206683	10008
G17	6857.411438	2.167319	0.000000	0.000000	6200.913267	3.600024	29529.561691	23.749822	10008
G18	5606.786932	2.204383	0.000000	0.000000	5070.018007	3.173284	24144.090242	20.222623	10008
G19	4900.882971	1.586112	0.000000	0.000000	4431.694161	2.591328	21104.308430	17.037144	10008
G20	4446.240221	1.498638	0.000000	0.000000	4020.576893	2.381224	19146.514115	15.561436	10008
G21	5345.829358	1.288991	0.000000	0.000000	4834.043354	2.626904	23020.348020	17.907155	10008
G22	7094.235203	1.714274	0.000000	0.000000	6415.064574	3.487547	30549.378284	23.768817	10008
G23	802.049947	0.571668	0.000000	0.000000	725.265241	0.626080	3453.808133	3.547499	10008
G24	5495.728677	1.514923	0.000000	0.000000	4969.591976	2.780969	23665.848323	18.678778	10008
G25	5674.611178	1.533392	0.000000	0.000000	5131.349060	2.857853	24436.156756	19.240780	10008
G26	6843.298945	1.636527	0.000000	0.000000	6188.151842	3.357337	29468.790110	22.905294	10008
G27	3438.071054	1.434205	0.000000	0.000000	3108.925372	1.993548	14805.110090	12.571110	10008
G28	2660.136349	1.274335	0.000000	0.000000	2405.466687	1.643219	11455.147635	10.093875	10008
G29	6813.966275	2.381315	0.000000	0.000000	6161.627351	3.693363	29342.477009	24.001664	10008
G30	6027.040128	1.574439	0.000000	0.000000	5450.038025	3.011875	25953.795375	20.356854	10008
G31	3330.626195	1.488071	0.000000	0.000000	3011.766808	1.990455	14342.428275	12.392555	10008
G32	5255.044187	1.319221	0.000000	0.000000	4751.949553	2.603547	22629.406577	17.673906	10008
G33	3250.841713	0.920603	0.000000	0.000000	2939.620539	1.656025	13998.858284	11.086177	10008
G34	895.590170	0.666310	0.000000	0.000000	809.850338	0.720123	3856.613449	4.045743	10008
G35	5081.587602	1.176857	0.000000	0.000000	4595.098932	2.477940	21882.463365	16.958541	10008
G36	3435.131595	1.115999	0.000000	0.000000	3106.267325	1.818451	14792.452118	11.949058	10008
G37	4117.447151	1.289297	0.000000	0.000000	3723.261014	2.155681	17730.656932	14.239985	10008
G38	4220.863194	1.434767	0.000000	0.000000	3816.776464	2.266763	18175.989760	14.794310	10008
G39	4768.386411	1.508006	0.000000	0.000000	4311.882235	2.503782	20533.748334	16.516315	10008
G40	6686.982017	2.366309	0.000000	0.000000	6046.800003	3.640083	28795.654130	23.608687	10008
G41	6355.874708	1.821291	0.000000	0.000000	5747.391440	3.247533	27369.831309	21.708196	10008
G42	4548.898617	1.549102	0.000000	0.000000	4113.407229	2.444395	19588.584343	15.949178	10008
G43	4758.520425	1.312824	0.000000	0.000000	4302.960775	2.408421	20491.263170	16.174847	10008
G44	1707.941845	1.040170	0.000000	0.000000	1544.431065	1.204328	7354.783149	7.046284	10008
G45	3519.176459	1.231878	0.000000	0.000000	3182.266106	1.908554	15154.368275	12.399727	10008
G46	4767.046239	1.275809	0.000000	0.000000	4310.670365	2.395390	20527.977251	16.145358	10008
G47	4621.389002	1.425007	0.000000	0.000000	4178.957706	2.408774	19900.744306	15.945996	10008
G48	-208.054627	0.013848	0.000000	0.000000	-188.136399	-0.092473	-895.930191	-0.665281	10008
G49	3565.426150	1.105142	0.000000	0.000000	3224.088056	1.861164	15353.529884	12.311956	10008
G50	6192.671100	1.493355	0.000000	0.000000	5599.812222	3.043105	26667.039731	20.744089	10008
G51	4388.176577	1.321762	0.000000	0.000000	3968.072005	2.272187	18896.478956	15.089892	10008
G52	3324.739214	1.178542	0.000000	0.000000	3006.443421	1.810910	14317.077604	11.741902	10008
G53	5055.414436	1.612454	0.000000	0.000000	4571.431469	2.661249	21769.755803	17.533734	10008
G54	2433.305488	0.846301	0.000000	0.000000	2200.351608	1.316773	10478.362741	8.563638	10008
G55	2902.997062	1.111482	0.000000	0.000000	2625.076992	1.626184	12500.960690	10.410805	10008
G56	4423.150247	1.525600	0.000000	0.000000	3999.697451	2.386878	19047.083475	15.543267	10008
G57	814.589767	0.622189	0.000000	0.000000	736.604554	0.667253	3507.807427	3.729451	10008
G58	2459.624418	1.207491	0.000000	0.000000	2224.150880	1.537998	10591.697995	9.402011	10008
G59	5577.831079	1.619541	0.000000	0.000000	5043.834258	2.859762	24019.399800	19.083997	10008
G60	5040.177603	1.809166	0.000000	0.000000	4557.653343	2.757315	21704.142560	17.842445	10008
G61	4190.607237	1.419698	0.000000	0.000000	3789.417078	2.248041	18045.700779	14.679670	10008
G62	6951.080058	2.141528	0.000000	0.000000	6285.614468	3.622173	29932.919911	23.981494	10008
G63	4850.616367	1.427255	0.000000	0.000000	4386.239859	2.495696	20887.849085	16.625761	10008
G64	6175.647730	1.691695	0.000000	0.000000	5584.418594	3.120291	26593.733258	20.973699	10008
G65	6740.329009	1.931607	0.000000	0.000000	6095.039790	3.444039	29025.378318	23.021515	10008
G66	6721.146635	1.527651	0.000000	0.000000	6077.693852	3.266296	28942.774685	22.393269	10008
G67	4405.017672	1.246210	0.000000	0.000000	3983.300808	2.243414	18969.000511	15.020289	10008
G68	4130.289070	1.057093	0.000000	0.000000	3734.873505	2.054747	17785.957135	13.919345	10008
G69	7395.722617	2.315742	0.000000	0.000000	6687.688920	3.871975	31847.651147	25.577600	10008
G70	6321.663968	1.356450	0.000000	0.000000	5716.455884	3.042123	27222.512139	20.963189	10008
G71	4328.906505	1.252179	0.000000	0.000000	3914.476187	2.217248	18641.248648	14.803490	10008
G72	4255.687252	1.236250	0.000000	0.000000	3848.266620	2.182174	18325.950012	14.561354	10008
G73	5918.759291	1.668421	0.000000	0.000000	5352.123515	3.011603	25487.513649	20.172593	10008
G74	6531.491581	2.577001	0.000000	0.000000	5906.195532	3.701791	28126.077211	23.576193	10008
G75	4315.381513	1.267916	0.000000	0.000000	3902.246017	2.219447	18583.006976	14.788269	10008
G76	6821.094048	2.231227	0.000000	0.000000	6168.072743	3.618521	29373.170811	23.753487	10008
G77	-253.631673	0.012858	0.000000	0.000000	-229.350101	-0.112296	-1092.195240	-0.809651	10008
G78	4536.869212	1.606271	0.000000	0.000000	4102.529466	2.470096	19536.783008	16.019139	10008
G79	3938.509992	1.302926	0.000000	0.000000	3561.454505	2.096736	16960.113132	13.740872	10008
G80	3841.252686	1.279321	0.000000	0.000000	3473.508182	2.049324	16541.301215	13.416666	10008
G81	3340.784845	0.914680	0.000000	0.000000	3020.952914	1.687752	14386.173715	11.345265	10008
G82	7682.447551	11.331759	0.000000	0.000000	6946.964080	10.790953	33082.353443	54.587348	10008
G83	5256.240891	1.720538	0.000000	0.000000	4753.031690	2.788980	22634.559856	18.306174	10008
G84	6986.620828	1.693858	0.000000	0.000000	6317.752722	3.436892	30085.966491	23.415747	10008
G85	4704.098393	1.366031	0.000000	0.000000	4253.748866	2.411882	20256.909613	16.094892	10008
G86	3915.596094	1.607190	0.000000	0.000000	3540.734282	2.255088	16861.440712	14.262030	10008
G87	3320.377116	1.258798	0.000000	0.000000	3002.498931	1.853031	14298.293426	11.882997	10008
G88	4632.113557	1.607243	0.000000	0.000000	4188.655540	2.504652	19946.926660	16.295038	10008
G89	5060.362647	2.278971	0.000000	0.000000	4575.905961	3.035261	21791.063918	18.868918	10008
G90	3602.877758	1.232022	0.000000	0.000000	3257.954214	1.938678	15514.804965	12.641444	10008
