# Online RefPMT LMS + Module Gain Results (Run: 1059)
# Trigger Condition: 1200 LMS events per fit
# Fit Event Absolute Time Range:
#   Start Time (UTC): 2016-06-05 00:26:50.393660 UTC
#   End Time (UTC):   2016-06-05 00:24:56.943041 UTC
#   Start Time (EDT): 2016-06-04 20:26:50.393660 EDT
#   End Time (EDT):   2016-06-04 20:24:56.943041 EDT
#   Average Time (UTC): 2016-06-05 00:25:53.668350 (UTC)
#   Average Time (seconds since epoch, UTC): 1465086353.668351
#   Average Time (EDT): 2016-06-04 20:25:53.668350 (EDT)
#   Average Time (seconds since epoch, EDT): 1465071953.668351
# Formula: Module Gain = (Module LMS Mean - Module Pedestal Mean) × RefPMT Alpha Signal / RefPMT LMS Signal
# Reference PMT Params:
# RefPMT1: AlphaSignal=4534.103564, AlphaError=4.683225, LMSSignal=2374.148271, LMSError=1.336384, Valid=Yes
# RefPMT2: AlphaSignal=1922.036638, AlphaError=1.851462, LMSSignal=2373.420598, LMSError=1.087365, Valid=Yes
# RefPMT3: AlphaSignal=5634.545883, AlphaError=5.087238, LMSSignal=1591.826176, LMSError=1.210219, Valid=Yes
# Note: -1.0 = Fit failed / Invalid data

# G module
# module name	LMS_Mean	LMS_Err	Pedestal_Mean	Pedestal_Err	module signal(LMS-Pedestal)	signal error	gain1(RefPMT1)	gain1 error	gain2(RefPMT2)	gain2 error	gain3(RefPMT3)	gain3 error
G1	5417.709492	4.615582	501.759270	0.368824	4915.950222	4.630295	9388.388961	14.147730	3981.020660	5.665044	19770.155859	31.894165
G2	4887.436305	4.461539	650.134413	0.265067	4237.301892	4.469406	8092.319189	12.785500	3431.439623	5.147569	17040.880207	28.656873
G3	7149.049406	6.596742	452.375711	0.593631	6696.673694	6.623398	12789.181043	19.655186	5423.081017	7.888748	26931.575117	44.200975
G4	5674.418900	5.196694	513.327153	0.203539	5161.091746	5.200678	9856.555618	15.266858	4179.540464	6.132974	20756.025513	34.299654
G5	5657.780717	6.192200	304.709680	0.190795	5353.071036	6.195139	10223.194044	16.870007	4335.008580	6.822870	21528.096083	37.626559
G6	5367.567431	4.933936	421.120777	0.296574	4946.446654	4.942842	9446.630472	14.580431	4005.717193	5.854857	19892.801369	32.771550
G7	4355.576110	4.237145	539.438859	0.325038	3816.137250	4.249594	7287.986903	11.805136	3090.373285	4.765469	15347.109880	26.384000
G8	7679.520199	5.370383	546.925676	0.314310	7132.594523	5.379573	13621.694415	19.034134	5776.097168	7.545844	28684.689435	43.353396
G9	5783.978764	3.845071	644.234429	0.236068	5139.744334	3.852311	9815.786734	13.691090	4162.252964	5.426238	20670.174022	31.191970
G10	6229.321314	3.925800	596.128758	0.433773	5633.192555	3.949692	10758.164834	14.732443	4561.855782	5.823135	22654.642496	33.655791
