# Online RefPMT LMS + Module Gain Results (Run: 1316)
# Trigger Condition: 1200 LMS events per fit
# Fit Event Absolute Time Range:
#   Start Time (UTC): 2016-06-12 04:18:16.000000 UTC
#   End Time (UTC):   2016-06-12 04:19:11.044475 UTC
#   Start Time (EDT): 2016-06-12 00:18:16.000000 EDT
#   End Time (EDT):   2016-06-12 00:19:11.044475 EDT
#   Average Time (UTC): 2016-06-12 04:18:43.522237 (UTC)
#   Average Time (seconds since epoch, UTC): 1465705123.522238
#   Average Time (EDT): 2016-06-12 00:18:43.522237 (EDT)
#   Average Time (seconds since epoch, EDT): 1465690723.522238
# Formula: Module Gain = (Module LMS Mean - Module Pedestal Mean) × RefPMT Alpha Signal / RefPMT LMS Signal
# Reference PMT Params:
# RefPMT1: AlphaSignal=-338.871143, AlphaError=0.094259, LMSSignal=2327.833891, LMSError=2.806926, Valid=No
# RefPMT2: AlphaSignal=2119.686673, AlphaError=2.455135, LMSSignal=2332.079540, LMSError=2.553485, Valid=Yes
# RefPMT3: AlphaSignal=5620.599127, AlphaError=9.805491, LMSSignal=1307.640829, LMSError=2.703598, Valid=Yes
# Note: -1.0 = Fit failed / Invalid data

# G module
# module name	LMS_Mean	LMS_Err	Pedestal_Mean	Pedestal_Err	module signal(LMS-Pedestal)	signal error	gain1(RefPMT1)	gain1 error	gain2(RefPMT2)	gain2 error	gain3(RefPMT3)	gain3 error
G1	5630.825322	4.626768	623.156317	0.050657	5007.669004	4.627045	0.000000	0.000000	4551.598292	8.385576	21524.335593	61.530916
G2	5146.717102	4.868468	663.809244	0.046058	4482.907858	4.868686	0.000000	0.000000	4074.629479	7.858818	19268.768181	56.170142
G3	7756.466645	7.109600	678.706007	0.064834	7077.760638	7.109896	0.000000	0.000000	6433.157463	12.120220	30422.157512	87.789509
G4	5931.621673	4.906446	590.459167	0.042743	5341.162505	4.906632	0.000000	0.000000	4854.719055	8.931036	22957.782178	65.589088
G5	6123.928714	6.091987	538.128364	0.038404	5585.800350	6.092108	0.000000	0.000000	5077.076642	9.805389	24009.302769	70.030317
G6	5416.767145	4.933567	508.635349	0.040979	4908.131796	4.933737	0.000000	0.000000	4461.126380	8.406477	21096.497355	60.883333
G7	4331.054806	4.416923	536.907787	0.046470	3794.147019	4.417168	0.000000	0.000000	3448.597157	6.806782	16308.285084	48.029473
G8	7974.283460	9.326342	543.670687	0.043630	7430.612774	9.326444	0.000000	0.000000	6753.873784	13.701901	31938.812820	95.248316
G9	5686.112529	4.588479	643.288652	0.046214	5042.823876	4.588711	0.000000	0.000000	4583.551453	8.412347	21675.440879	61.865159
G10	6322.390929	4.346696	598.423973	0.046541	5723.966955	4.346945	0.000000	0.000000	5202.659799	9.185569	24603.180753	69.129904
G11	6672.066499	5.402211	451.601756	0.065441	6220.464744	5.402607	0.000000	0.000000	5653.939323	10.262753	26737.264497	75.966528
G12	4786.756142	4.626723	511.391355	0.052386	4275.364787	4.627020	0.000000	0.000000	3885.988280	7.486668	18376.691106	53.543656
G13	3686.966840	4.226889	607.659891	0.052225	3079.306949	4.227212	0.000000	0.000000	2798.860755	5.887574	13235.706295	40.151871
G14	3444.239405	3.017444	435.111554	0.045229	3009.127851	3.017783	0.000000	0.000000	2735.073179	5.150517	12934.057272	37.316446
G15	6574.492571	4.117105	528.631118	0.057670	6045.861453	4.117509	0.000000	0.000000	5495.237932	9.524798	25986.771640	72.493506
G16	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G17	7164.423308	8.159856	310.727276	0.048510	6853.696032	8.160000	0.000000	0.000000	6229.499418	12.393366	29459.066347	87.070071
G18	5942.475496	8.725870	381.431999	0.059285	5561.043497	8.726071	0.000000	0.000000	5054.574505	11.305370	23902.891018	74.753124
G19	5441.031554	4.771779	561.346163	0.052382	4879.685390	4.772066	0.000000	0.000000	4435.270715	8.293862	20974.226898	60.333615
G20	4856.098320	4.396680	443.139124	0.048067	4412.959196	4.396943	0.000000	0.000000	4011.051353	7.539494	18968.109635	54.682704
G21	5704.148447	4.239133	471.080316	0.046693	5233.068131	4.239390	0.000000	0.000000	4756.469316	8.504283	22493.162892	63.518818
G22	7578.156205	5.689831	531.287669	0.052115	7046.868537	5.690069	0.000000	0.000000	6405.078843	11.444204	30289.374782	85.511636
G23	1186.797326	1.660619	391.751796	0.049818	795.045530	1.661366	0.000000	0.000000	722.637194	1.899186	3417.323867	11.681477
G24	5926.655969	5.011421	522.552108	0.040764	5404.103861	5.011587	0.000000	0.000000	4911.928060	9.057751	23228.321395	66.427425
G25	5950.468556	5.205618	370.549038	0.089966	5579.919518	5.206396	0.000000	0.000000	5071.731403	9.366985	23984.025337	68.632952
G26	7180.348490	5.426990	390.375256	0.094159	6789.973234	5.427807	0.000000	0.000000	6171.580139	11.004571	29185.168273	82.327192
G27	3837.017219	4.781461	413.671213	0.122113	3423.346005	4.783021	0.000000	0.000000	3111.566642	6.595161	14714.480570	44.801478
G28	3173.328418	4.278797	517.257857	0.089913	2656.070561	4.279741	0.000000	0.000000	2414.170389	5.471572	11416.520155	35.947581
G29	7070.445868	9.494133	329.386176	0.067362	6741.059692	9.494372	0.000000	0.000000	6127.121372	13.032409	28974.924448	88.370759
G30	6378.776544	4.971845	430.843904	0.083736	5947.932640	4.972550	0.000000	0.000000	5406.227932	9.730251	25565.846728	72.388539
G31	3856.189481	4.928725	539.890477	0.040021	3316.299004	4.928887	0.000000	0.000000	3014.268888	6.569043	14254.363184	43.997729
G32	5760.991708	4.141221	557.097170	0.043002	5203.894539	4.141444	0.000000	0.000000	4729.952693	8.426484	22367.766788	63.073820
G33	3885.555789	2.695485	730.090855	0.041745	3155.464935	2.695808	0.000000	0.000000	2868.082694	5.186651	13563.054217	38.477259
G34	1539.561060	1.943256	644.968539	0.044624	894.592520	1.943769	0.000000	0.000000	813.117996	2.191122	3845.204147	13.341954
G35	5726.331282	3.635162	705.599609	0.048314	5020.731674	3.635483	0.000000	0.000000	4563.471285	7.989015	21580.482530	60.435102
G36	3954.403932	3.496364	624.455117	0.037742	3329.948815	3.496567	0.000000	0.000000	3026.675550	5.776924	14313.033818	41.534428
G37	4598.348798	4.380438	490.800603	0.050360	4107.548195	4.380727	0.000000	0.000000	3733.455492	7.159946	17655.369341	51.339357
G38	4547.229555	4.664502	347.418807	0.038877	4199.810748	4.664664	0.000000	0.000000	3817.315284	7.415878	18051.939114	52.790234
G39	5222.008871	5.120236	469.005815	0.038657	4753.003056	5.120382	0.000000	0.000000	4320.125905	8.311058	20429.711462	59.487941
G40	7105.423616	10.620739	462.114513	0.044759	6643.309103	10.620833	0.000000	0.000000	6038.273364	13.631486	28554.765592	89.728071
G41	6589.652729	6.422365	291.146664	0.039548	6298.506065	6.422487	0.000000	0.000000	5724.873074	10.832270	27072.707514	78.267633
G42	4900.762798	4.826162	377.772495	0.048972	4522.990302	4.826410	0.000000	0.000000	4111.061437	7.885431	19441.053525	56.535995
G43	5108.610735	3.904454	382.443970	0.053081	4726.166765	3.904815	0.000000	0.000000	4295.733715	7.712091	20314.361717	57.460723
G44	1963.182279	3.241383	255.639164	0.034097	1707.543115	3.241563	0.000000	0.000000	1552.029561	3.847119	7339.488894	24.255937
G45	3808.729698	3.818852	323.857525	0.041758	3484.872173	3.819080	0.000000	0.000000	3167.489348	6.126817	14978.936925	43.720078
G46	5057.306657	4.110127	320.186949	0.042371	4737.119708	4.110345	0.000000	0.000000	4305.689125	7.813760	20361.440474	57.846210
G47	4807.681250	4.987424	236.018773	0.032006	4571.662477	4.987527	0.000000	0.000000	4155.300820	8.025918	19650.259889	57.318243
G48	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G49	3976.402697	3.511571	430.122667	0.044959	3546.280031	3.511859	0.000000	0.000000	3223.304519	6.048422	15242.884747	43.911414
G50	6512.855147	4.977268	343.890084	0.049250	6168.965063	4.977512	0.000000	0.000000	5607.129947	10.016964	26515.904735	74.854012
G51	4736.120759	4.099241	379.662565	0.047869	4356.458195	4.099521	0.000000	0.000000	3959.696150	7.329145	18725.252826	53.633190
G52	3835.981044	3.696351	538.922638	0.046836	3297.058406	3.696648	0.000000	0.000000	2996.780617	5.839897	14171.661812	41.499741
G53	5354.181990	4.983702	325.482673	0.036045	5028.699317	4.983832	0.000000	0.000000	4570.713280	8.578680	21614.729647	62.273133
G54	2786.324051	2.514256	376.533066	0.050042	2409.790985	2.514754	0.000000	0.000000	2190.320591	4.172808	10357.942952	30.033086
G55	3099.184592	3.293541	231.357896	0.097818	2867.826696	3.294993	0.000000	0.000000	2606.640950	5.121590	12326.706134	36.229418
G56	4808.989879	5.195570	391.361285	0.092179	4417.628594	5.196388	0.000000	0.000000	4015.295488	7.954024	18988.179989	56.013081
G57	1406.287787	1.777998	601.636549	0.089296	804.651238	1.780239	0.000000	0.000000	731.368067	1.994278	3458.611836	12.086892
G58	3023.371219	3.901982	580.020512	0.091920	2443.350707	3.903065	0.000000	0.000000	2220.823879	5.011492	10502.191846	32.994234
G59	6106.985479	5.415068	600.587404	0.112158	5506.398074	5.416230	0.000000	0.000000	5004.905885	9.373964	23668.009997	68.128258
G60	5515.738895	6.147037	507.189242	0.080203	5008.549653	6.147560	0.000000	0.000000	4552.398736	9.158117	21528.120863	63.952512
G61	4664.763977	4.454782	490.738223	0.063589	4174.025754	4.455236	0.000000	0.000000	3793.878644	7.277649	17941.108133	52.175938
G62	7458.345606	7.783882	481.077871	0.035570	6977.267735	7.783963	0.000000	0.000000	6341.816896	12.338128	29990.211437	87.758251
G63	5301.196878	4.751814	526.588800	0.040548	4774.608078	4.751987	0.000000	0.000000	4339.763261	8.154819	20522.575773	59.156178
G64	6694.156052	5.441625	576.251160	0.031927	6117.904892	5.441718	0.000000	0.000000	5560.720054	10.149811	26296.434111	74.884296
G65	7326.508311	6.495526	680.573382	0.053938	6645.934929	6.495750	0.000000	0.000000	6040.660044	11.294190	28566.052111	82.166677
G66	7257.720782	5.030076	589.926089	0.045687	6667.794693	5.030284	0.000000	0.000000	6060.528942	10.687146	28660.011378	80.490049
G67	4741.091375	3.779359	394.595712	0.033576	4346.495663	3.779508	0.000000	0.000000	3950.640950	7.172960	18682.431131	53.086845
G68	4399.922200	3.175472	369.383906	0.035311	4030.538294	3.175668	0.000000	0.000000	3663.459226	6.513578	17324.359654	48.813539
G69	7814.042571	7.119014	524.886704	0.035540	7289.155867	7.119102	0.000000	0.000000	6625.299987	12.384755	31330.792217	90.111319
G70	6704.872182	4.235540	459.163174	0.038630	6245.709007	4.235716	0.000000	0.000000	5676.884479	9.833261	26845.771270	74.871053
G71	4663.353294	4.027685	363.487538	0.044125	4299.865755	4.027926	0.000000	0.000000	3908.257836	7.225475	18482.002992	52.910622
G72	4703.349165	4.004717	454.601911	0.034765	4248.747254	4.004868	0.000000	0.000000	3861.794924	7.151037	18262.281644	52.316616
G73	6175.678130	5.536140	310.689088	0.033756	5864.989042	5.536243	0.000000	0.000000	5330.838376	9.874982	25209.332383	72.229271
G74	6757.749201	9.589828	294.843953	0.037621	6462.905248	9.589901	0.000000	0.000000	5874.299691	12.792246	27779.340317	85.711722
G75	4663.821561	3.948963	388.672273	0.036761	4275.149288	3.949135	0.000000	0.000000	3885.792407	7.158451	18375.764832	52.528715
G76	7035.221306	7.720330	262.752455	0.137019	6772.468851	7.721545	0.000000	0.000000	6155.669959	12.063161	29109.929634	85.457014
G77	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G78	4806.227412	5.491763	368.544516	0.038568	4437.682896	5.491899	0.000000	0.000000	4033.523356	8.139324	19074.378881	56.743546
G79	4281.800770	4.092725	371.716034	0.042195	3910.084735	4.092942	0.000000	0.000000	3553.975909	6.776978	16806.617204	48.750595
G80	4330.877649	4.170349	524.560540	0.035536	3806.317109	4.170501	0.000000	0.000000	3459.658863	6.691516	16360.595470	47.751447
G81	3941.322002	2.906854	611.450530	0.040493	3329.871472	2.907136	0.000000	0.000000	3026.605251	5.500313	14312.701375	40.685424
G82	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G83	5514.307173	5.513635	334.890593	0.039350	5179.416580	5.513775	0.000000	0.000000	4707.704051	9.023235	22262.553805	64.720487
G84	7489.936422	5.721069	560.254421	0.036391	6929.682001	5.721185	0.000000	0.000000	6298.565007	11.306000	29785.674895	84.245784
G85	5025.756034	4.538222	370.129256	0.077763	4655.626778	4.538888	0.000000	0.000000	4231.618118	7.906360	20011.161496	57.542781
G86	4191.407155	4.797756	360.215952	0.096653	3831.191203	4.798729	0.000000	0.000000	3482.267561	7.059052	16467.511150	49.091638
G87	3779.231155	3.980773	499.145911	0.096268	3280.085245	3.981937	0.000000	0.000000	2981.353277	5.973263	14098.706508	41.804389
G88	5064.949711	5.163887	475.890784	0.067482	4589.058927	5.164328	0.000000	0.000000	4171.112898	8.138344	19725.034603	57.793495
G89	5675.918730	9.079448	625.910807	0.081383	5050.007923	9.079813	0.000000	0.000000	4590.081216	11.028787	21706.319883	70.506959
G90	4118.369667	3.816114	544.347701	0.077384	3574.021966	3.816899	0.000000	0.000000	3248.519872	6.232566	15362.127197	44.679099
G91	6058.404191	5.479295	644.364545	0.048435	5414.039646	5.479509	0.000000	0.000000	4920.958949	9.291071	23271.028126	67.214809
G92	5176.468676	5.393323	640.563159	0.049160	4535.905517	5.393547	0.000000	0.000000	4122.800405	8.198415	19496.566661	57.612686
G93	4134.227792	4.224528	566.263478	0.059391	3567.964314	4.224946	0.000000	0.000000	3243.013918	6.439335	15336.089747	45.287943
G94	3888.553997	3.952983	602.412480	0.044802	3286.141517	3.953237	0.000000	0.000000	2986.857978	5.964493	14124.738028	41.818370
G95	5637.713550	4.360623	601.933778	0.045283	5035.779772	4.360858	0.000000	0.000000	4577.148887	8.302645	21645.163387	61.481906
G96	4836.475967	3.280098	644.473451	0.039768	4192.002516	3.280339	0.000000	0.000000	3810.218182	6.765456	18018.377191	50.742004
G97	6400.751897	6.531053	544.529095	0.036325	5856.222802	6.531154	0.000000	0.000000	5322.870517	10.354627	25171.652677	73.654514
G98	6538.472401	6.365162	431.667189	0.034316	6106.805212	6.365255	0.000000	0.000000	5550.631271	10.570824	26248.724639	76.097096
G99	6545.332110	7.332812	646.763163	0.075696	5898.568947	7.333203	0.000000	0.000000	5361.360010	10.837420	25353.668028	75.483314
G100	4451.984435	4.547781	495.250020	0.073303	3956.734415	4.548372	0.000000	0.000000	3596.376995	7.067457	17007.130329	49.989479
G101	7193.266784	4.778263	649.605380	0.052991	6543.661404	4.778557	0.000000	0.000000	5947.701025	10.427525	28126.452437	78.811775
G102	5860.189549	3.920058	440.867960	0.037348	5419.321590	3.920236	0.000000	0.000000	4925.759843	8.621802	23293.731370	65.228682
G103	6499.671380	6.738339	499.118137	0.044685	6000.553243	6.738487	0.000000	0.000000	5454.056142	10.634042	25792.024518	75.545966
G104	4101.644142	4.405932	376.758732	0.053964	3724.885410	4.406263	0.000000	0.000000	3385.643511	6.720103	16010.579681	47.271983
G105	6346.939538	4.986346	534.304490	0.042941	5812.635048	4.986531	0.000000	0.000000	5283.252494	9.563122	24984.300550	70.905131
G106	5017.557701	4.992243	445.281903	0.042496	4572.275797	4.992424	0.000000	0.000000	4155.858283	8.029165	19652.896108	57.332731
G107	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
G108	3983.680490	3.966127	393.358043	0.039874	3590.322447	3.966327	0.000000	0.000000	3263.335796	6.328572	15432.191139	45.094333
G109	6868.446538	6.348559	517.628990	0.045679	6350.817548	6.348723	0.000000	0.000000	5772.420317	10.860413	27297.556622	78.726640
G110	6800.213250	6.554300	599.423735	0.041302	6200.789514	6.554430	0.000000	0.000000	5636.056004	10.779108	26652.694963	77.410062
G111	4074.658776	4.483719	390.679203	0.035825	3683.979574	4.483862	0.000000	0.000000	3348.463151	6.715180	15834.755171	46.972435
G112	3588.401200	3.217974	582.260743	0.045092	3006.140457	3.218290	0.000000	0.000000	2732.357861	5.246247	12921.216632	37.592398
G113	5029.786355	4.999241	523.586413	0.033963	4506.199941	4.999357	0.000000	0.000000	4095.800249	7.953976	19368.883947	56.632293
G114	6007.155614	4.819326	510.868808	0.040220	5496.286806	4.819494	0.000000	0.000000	4995.715494	9.087992	23624.548991	67.183116
G115	4257.716998	4.232893	530.381425	0.077120	3727.335573	4.233596	0.000000	0.000000	3387.870526	6.630660	16021.111153	47.005824
G116	4377.246240	4.163880	518.636799	0.090415	3858.609441	4.164861	0.000000	0.000000	3507.188699	6.751206	16585.362263	48.306571
G117	4334.672604	3.322332	367.460708	0.103971	3967.211896	3.323959	0.000000	0.000000	3605.900245	6.493073	17052.165418	48.291731
G118	3294.030921	2.900847	450.292709	0.097946	2843.738212	2.902500	0.000000	0.000000	2584.746312	4.892070	12223.167219	35.341597
G119	2939.778977	3.108625	512.719079	0.082300	2427.059898	3.109714	0.000000	0.000000	2206.016747	4.511340	10432.169478	31.226650
G120	4700.211768	3.748967	367.932496	0.069549	4332.279273	3.749612	0.000000	0.000000	3937.719310	7.141880	18621.325184	52.890196
G121	4966.997604	3.432713	626.641004	0.057032	4340.356600	3.433186	0.000000	0.000000	3945.060999	7.019672	18656.043754	52.581873
G122	3100.544227	2.634213	671.532791	0.053144	2429.011436	2.634749	0.000000	0.000000	2207.790549	4.256525	10440.557724	30.429869
G123	4555.895846	3.317822	638.942092	0.052670	3916.953754	3.318240	0.000000	0.000000	3560.219335	6.426273	16836.142131	47.726464
G124	3568.922933	2.966779	663.420460	0.049349	2905.502472	2.967189	0.000000	0.000000	2640.885425	4.999131	12488.646958	36.111698
G125	3411.556843	2.787062	539.218114	0.047862	2872.338728	2.787473	0.000000	0.000000	2610.742051	4.871832	12346.100086	35.482956
G126	5844.596752	5.018908	583.776261	0.040026	5260.820491	5.019067	0.000000	0.000000	4781.694146	8.882437	22612.450154	64.864328
G127	4315.343037	3.172876	412.538985	0.034992	3902.804052	3.173069	0.000000	0.000000	3547.358310	6.347145	16775.322828	47.386129
G128	4159.553297	3.399503	309.474644	0.035099	3850.078653	3.399685	0.000000	0.000000	3499.434848	6.376430	16548.694596	47.092412
G129	3184.433468	2.490744	462.982661	0.032126	2721.450807	2.490951	0.000000	0.000000	2473.596165	4.546455	11697.542395	33.406668
G130	4448.212084	3.592684	244.784895	0.038155	4203.427189	3.592886	0.000000	0.000000	3820.602359	6.909952	18067.483569	51.258245
G131	5703.323430	3.822764	396.357277	0.050034	5306.966153	3.823091	0.000000	0.000000	4823.637116	8.437101	22810.796870	63.858749
G132	5453.756412	4.459059	443.807840	0.034667	5009.948572	4.459193	0.000000	0.000000	4553.670249	8.312991	21534.133798	61.326697
G133	3576.093975	3.334184	469.358922	0.034293	3106.735053	3.334360	0.000000	0.000000	2823.790859	5.426051	13353.599811	38.863616
G134	3005.008467	3.133433	266.847169	0.048203	2738.161298	3.133804	0.000000	0.000000	2488.784757	4.883542	11769.368667	34.570865
G135	3909.687646	3.090058	495.630979	0.033052	3414.056667	3.090235	0.000000	0.000000	3103.123325	5.687900	14674.552445	41.861114
